ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
-1.0,8.0,10.0,10.0,3.0,0.7420194510370492,-0.19652324821649786
-1.0,8.0,10.0,10.0,10.0,0.7234569868072868,-0.14852346559118532
-1.0,8.0,10.0,30.0,3.0,0.6625185366719961,-0.02323107114649192
-1.0,8.0,10.0,30.0,10.0,0.6735767159610987,-0.013257245166945443
-1.0,16.0,2.0,1.0,3.0,0.7837097577750682,0.0019136338249723358
-1.0,16.0,2.0,1.0,10.0,0.7822411302477121,-0.07466431918732475
-1.0,16.0,2.0,3.0,3.0,0.7837081551551819,0.0021631767157266855
-1.0,16.0,2.0,3.0,10.0,0.7822582960128784,-0.07997214001112055
-1.0,16.0,2.0,10.0,3.0,0.7729924596846104,-0.05708269908841304
-1.0,16.0,2.0,10.0,10.0,0.7738780338317156,-0.08578029603273826
-1.0,16.0,2.0,30.0,3.0,0.6815359454602004,0.16434927253165554
-1.0,16.0,2.0,30.0,10.0,0.7460454221814871,0.14268131317389082
-1.0,16.0,5.0,1.0,3.0,0.7801337782293558,-0.19375935788464616
-1.0,16.0,5.0,1.0,10.0,0.7741495277732611,-0.199478427835473
-1.0,16.0,5.0,3.0,3.0,0.7798488520085811,-0.1913531399772065
-1.0,16.0,5.0,3.0,10.0,0.7740396976470947,-0.19825126612595656
-1.0,16.0,5.0,10.0,3.0,0.7135686177760363,-0.13095157486368272
-1.0,16.0,5.0,10.0,10.0,0.7143947429955005,-0.12987871227259434
-1.0,16.0,5.0,30.0,3.0,0.7526248060166836,-0.31914099797157164
-1.0,16.0,5.0,30.0,10.0,0.7842243153601884,-0.32670267313589285
-1.0,16.0,10.0,1.0,3.0,0.748699939250946,-0.17329411589092195
-1.0,16.0,10.0,1.0,10.0,0.7473106145858764,-0.13175016809713333
-1.0,16.0,10.0,3.0,3.0,0.7470316313207149,-0.16739633096513482
-1.0,16.0,10.0,3.0,10.0,0.7459913332015276,-0.12734950566261627
-1.0,16.0,10.0,10.0,3.0,0.69546920619905,-0.1681210808011552
-1.0,16.0,10.0,10.0,10.0,0.7003055388107896,-0.10507190165765924
-1.0,16.0,10.0,30.0,3.0,0.6912962928414345,-0.04204173973620423
-1.0,16.0,10.0,30.0,10.0,0.6876437470316887,0.0035003691592779044
