hemisphere,glomerulus,n_neurons,mean_angle_deg
L,1,2,136.8926467945217
L,2,2,176.81012452337836
L,3,3,215.44925126469866
L,4,3,264.8102758330753
L,5,3,313.51718251229784
L,6,3,356.0551662329093
L,7,3,46.75913183515673
L,8,4,89.54935391852426
R,1,2,114.99035830165342
R,2,2,64.57787148335174
R,3,3,21.364163713594525
R,4,3,335.34827422595686
R,5,3,290.49039200920157
R,6,3,238.5166350247414
R,7,3,194.13176306641483
R,8,4,156.3916817995967
