label,held_out_loss,slope,anchor_err_deg,n_epochs,seed,hold_prob,sign_reg,anchor,max_av,ring_source,ring_sign,activation,type_params,real_sign_control,control_shuffle_seed,control_swap_fraction,control_type_mask,frac_edges_changed,recurrent_gain,tau,in_gain,cue_gain,mean_abs_sign,frac_polarized_gt_0.9
joint_sr0.0_p,0.5613572857653101,-0.10097833947152239,5.68763608614837,1000,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,False,,,,,2.0,10.0,10.0,10.0,0.4657314419746399,0.061681222170591354
pilot,0.8484507739543915,,,5,0,0.0,,,,,,,,,,,,,4.0,5.0,,,0.08985276520252228,0.0
realctl_rectified_m,0.17175060206403334,0.72567544532245,4.340211101046096,600,0,0.3,0.0,True,0.15,eb_synapses,-1.0,rectified,True,True,,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_rectified_p,0.46719910254081093,-6.669930303021232e-09,2.635778207607095,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,rectified,True,True,,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf10_tanh_p,0.44406812178591887,0.018471261533527673,8.738369985913915,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,10.0,,,0.4421397379912664,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf11_tanh_p,0.5087804220616817,0.014223360106031768,8.39645555767113,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,11.0,,,0.41790393013100435,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf12_tanh_p,0.5203803618748982,-0.016488979242063988,5.421790355146089,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,12.0,,,0.49323144104803496,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf1_tanh_m,0.4687237121164799,0.016905119088266772,7.977258503022393,600,0,0.3,0.0,True,0.15,eb_synapses,-1.0,tanh,True,True,1.0,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf1_tanh_p,0.485985071087877,0.034392744120805334,7.011902414849997,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,1.0,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf2_tanh_m,0.4301639224092166,0.20028055198329517,6.902962975104166,600,0,0.3,0.0,True,0.15,eb_synapses,-1.0,tanh,True,True,2.0,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf2_tanh_p,0.5978230677545071,-0.05385684869654403,3.1837097832760963,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,2.0,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf3_tanh_m,0.4555766520400842,0.08550951306700609,13.313780795691011,600,0,0.3,0.0,True,0.15,eb_synapses,-1.0,tanh,True,True,3.0,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf3_tanh_p,0.5063004265228908,0.03867736982209874,8.064304358353128,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,3.0,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf4_tanh_m,0.4295992958048979,0.06994122296898764,5.400218453075256,600,0,0.3,0.0,True,0.15,eb_synapses,-1.0,tanh,True,True,4.0,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf4_tanh_p,0.4501169284184774,0.024598517942010595,6.481953533316555,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,4.0,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf5_tanh_p,0.4726388798405727,0.011862598531387877,11.323661911119851,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,5.0,,,0.4549126637554585,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf6_tanh_p,0.48677634820342064,-0.001297612657781919,10.565188579901768,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,6.0,,,0.3572052401746725,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf7_tanh_p,0.5067778033514817,0.006009901581418525,7.0220060113110305,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,7.0,,,0.372707423580786,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf8_tanh_p,0.5206479209164778,-0.0011665612985410235,9.67529652512926,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,8.0,,,0.439410480349345,2.0,10.0,10.0,10.0,1.0,1.0
realctl_shuf9_tanh_p,0.4570375739907225,-0.0013051110252594322,4.855136743154953,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,9.0,,,0.4576419213973799,2.0,10.0,10.0,10.0,1.0,1.0
realctl_tanh_m,0.12517615010341007,0.8738721037984034,6.755537954025826,600,0,0.3,0.0,True,0.15,eb_synapses,-1.0,tanh,True,True,,,,,2.0,10.0,10.0,10.0,1.0,1.0
realctl_tanh_p,0.10791182685643434,0.8202978305766678,4.384725067815693,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,,,2.0,10.0,10.0,10.0,1.0,1.0
regr_tmp,0.6362123494346936,,,26,0,0.3,0.05,False,0.08,glomerulus,1.0,tanh,False,False,,,,,4.0,5.0,3.0,3.0,0.35571351647377014,0.0
sigm_real_m,0.3031111291299264,0.3306257380045561,6.519880129477218,600,0,0.3,0.0,True,0.15,eb_synapses,-1.0,sigmoid,True,True,,,,0.0,2.0,10.0,10.0,10.0,1.0,1.0
sigm_real_p,0.4700928176442782,0.013180896009471327,3.9912243156299496,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,sigmoid,True,True,,,,0.0,2.0,10.0,10.0,10.0,1.0,1.0
